2021-06-30 11:06:773 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (4a6247cf5bd5118e08671a115560f5f8)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 11:06:944 INFO  HomePage :58 - Clicking computer sub menu product element [[ChromeDriver: chrome on WINDOWS (4a6247cf5bd5118e08671a115560f5f8)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 11:06:251 INFO  DesktopsPage :48 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (4a6247cf5bd5118e08671a115560f5f8)] -> xpath: (//button[@class='button-2 product-box-add-to-cart-button'])[1]]
2021-06-30 11:06:322 INFO  BuildYourOwnComputerPage :42 - Getting build computer textProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Build your own computer')]'
2021-06-30 11:06:793 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 11:06:396 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (283d13412c4ee0f92fb1cd52d64a5477)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 11:06:417 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (283d13412c4ee0f92fb1cd52d64a5477)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 11:06:284 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 11:06:923 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 11:06:964 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 11:06:600 INFO  HomePage :58 - Clicking computer sub menu product element [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 11:06:968 INFO  DesktopsPage :48 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: (//button[@class='button-2 product-box-add-to-cart-button'])[1]]
2021-06-30 11:06:420 INFO  BuildYourOwnComputerPage :42 - Getting build computer text[[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 11:06:612 INFO  BuildYourOwnComputerPage :48 - Select processor option [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: //dd[@id='product_attribute_input_1']/select[@id='product_attribute_1']]
2021-06-30 11:06:782 INFO  BuildYourOwnComputerPage :53 - Select RAM option [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: //dd[@id='product_attribute_input_2']/select[@id='product_attribute_2']]
2021-06-30 11:06:885 INFO  BuildYourOwnComputerPage :58 - Click on radio button [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: //ul[@class='option-list']/li[@data-attr-value='7']/input[@id='product_attribute_3_7']]
2021-06-30 11:06:984 INFO  BuildYourOwnComputerPage :63 - Click on radio button [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: //li[@data-attr-value='9']/input[@id='product_attribute_4_9']]
